source,target,value,groupsource,grouptarget
Napoleon,Myriel,1,1,1
Mlle.Baptistine,Myriel,8,1,1
Mme.Magloire,Myriel,10,1,1
Mme.Magloire,Mlle.Baptistine,6,1,1
CountessdeLo,Myriel,1,1,1
Geborand,Myriel,1,1,1
Champtercier,Myriel,1,1,1
Cravatte,Myriel,1,1,1
Count,Myriel,2,1,1
OldMan,Myriel,1,1,1
Valjean,Labarre,1,2,2
Valjean,Mme.Magloire,3,2,1
Valjean,Mlle.Baptistine,3,2,1
Valjean,Myriel,5,2,1
Marguerite,Valjean,1,3,2
Mme.deR,Valjean,1,2,2
Isabeau,Valjean,1,2,2
Gervais,Valjean,1,2,2
Listolier,Tholomyes,4,3,3
Fameuil,Tholomyes,4,3,3
